Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Viet Nam,VNM,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,2.509,2.521,2.508,1.559,2.348,2.987,2.881,1.757,1.89,..
Viet Nam,VNM,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,2.705,2.769,2.996,1.912,2.265,2.108,2.784,1.811,1.948,..
Viet Nam,VNM,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,1.706,1.699,1.703,1.029,1.598,2.448,2.288,1.424,1.511,1.283
Viet Nam,VNM,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,1.705,1.697,1.701,1.027,1.597,2.454,2.286,1.423,1.509,..
Viet Nam,VNM,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,1.985,1.992,2.037,1.286,1.758,1.783,2.476,1.616,1.772,1.57
Viet Nam,VNM,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,1.983,1.989,2.035,1.283,1.757,1.788,2.475,1.615,1.771,..
Viet Nam,VNM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.848,1.848,1.874,1.161,1.681,2.103,2.385,1.523,1.645,1.431
Viet Nam,VNM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,1.849,1.848,1.874,1.161,1.681,2.103,2.385,1.523,1.645,..
Viet Nam,VNM,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,6.467,6.788,7.13,4.452,5.417,7.547,6.895,5.954,5.985,6.625
Viet Nam,VNM,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,6.937,7.21,7.33,4.542,5.615,7.861,7.018,6.041,6.046,..
Viet Nam,VNM,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,6.096,6.741,7.119,4.817,5.807,5.657,6.918,5.95,6.667,6.996
Viet Nam,VNM,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,6.458,7.136,7.279,5.009,5.954,5.881,7.004,5.963,6.749,..
Viet Nam,VNM,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,6.267,6.763,7.124,4.648,5.624,6.546,6.907,5.952,6.345,6.821
Viet Nam,VNM,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,6.675,7.17,7.302,4.791,5.8,6.787,7.011,5.999,6.421,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 07/01/2025,,,,,,,,,,,,,
